;Equipo;PTS;G;E;D;GP;GC;DIF
0;FC Barcelona;88;28;4;6;70;20;+50
1;Real Madrid;78;24;6;8;75;36;+39
2;Atlético;77;23;8;7;70;33;+37
3;Real Sociedad;71;21;8;9;51;35;+16
4;Villarreal;64;19;7;12;59;40;+19
5;Real Betis;60;17;9;12;46;41;+5
6;Rayo Vallecano;53;15;8;15;37;42;-5
7;Athletic Bilbao;51;14;9;15;47;43;+4
8;Girona;50;14;8;16;37;43;-6
9;Sevilla FC;49;13;10;15;58;55;+3
10;Osasuna;49;13;10;15;45;53;-8
11;Valencia CF;49;13;10;15;47;54;-7
12;Celta de Vigo;43;11;10;17;43;53;-10
13;Real Mallorca;42;10;12;16;30;53;-23
14;Espanyol;42;10;12;16;34;45;-11
15;Valladolid;42;11;9;18;42;45;-3
16;Getafe;41;11;8;19;49;65;-16
17;Almería;40;11;7;20;33;63;-30
18;Cádiz;37;8;13;17;52;69;-17
19;Elche;25;5;10;23;30;67;-37
